font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,label_x,label_y,label
11.67000008,0,0.335899161,0.125983802,7,41,0.097560976,0,0,4,171.4700326,1.19761094,0,0.0,-129.840004,1,0,Application form for grant of LTC advance ,,,,,title,title,
9.744400024,0,0.117680667,0.15794831,6,33,0.090909091,0,0,5,83.23630501,0.961980429,0,26.91411591,0.0,1,1,1,,,,,body,body,
9.744400024,0,0.117680667,0.179392962,2,14,0.071428571,0,0,4,45.84918601,1.0,0,18.05639648,0.0,1,2,2,,,,,body,body,
9.744400024,0,0.117680667,0.214875554,1,2,0.0,1,0,4,53.9050718,1.0,0,29.87634277,0.0,1,3,3,,,,,body,body,
9.744400024,0,0.161342127,0.200907057,6,39,0.076923077,0,0,5,83.07601983,0.961980429,0,36.17126465,0.0,1,4,Date of entering the Central Government ,,,,,body,body,
9.744400024,0,0.161342127,0.221784632,1,7,0.142857143,0,0,5,43.7152362,1.0,0,5.817443848,-25.97856903,1,5,Service ,,,,,body,body,
9.744400024,0,0.117680667,0.243298655,6,17,0.470588235,0,0,6,53.54819923,1.0,0,18.11480713,0.0,1,6,4,,,,,body,body,
9.744400024,0,0.117680667,0.264743307,5,33,0.03030303,0,0,6,48.42435744,1.0,0,18.05639648,25.97856903,1,7,5,,,,,body,body,
9.744400024,0,0.117680667,0.286338371,9,44,0.090909091,0,0,6,67.5003313,0.968114981,0,18.18304443,25.97856903,1,8,6,,,,,body,body,
9.744400024,0,0.117680667,0.314773088,1,2,0.0,1,0,4,70.04842059,1.0,0,60.18147278,25.97856903,1,9,7,,,,,body,body,
9.744400024,0,0.161342127,0.300804573,8,41,0.024390244,0,0,7,68.28459877,0.972544926,0,12.18054199,0.0,1,10,Whether wife / husband is employed and if ,,,,,body,body,
9.744400024,0,0.161342127,0.321682167,5,26,0.115384615,0,0,8,56.48090286,1.0,0,5.817443848,0.0,1,11,so whether entitled to LTC ,,,,,body,body,
9.744400024,0,0.117680667,0.36764983,1,2,0.0,1,0,4,62.9392153,1.0,0,38.70477295,25.97856903,1,12,8,,,,,body,body,
9.744400024,0,0.161342127,0.343207787,8,43,0.023255814,0,0,5,40.48932721,1.0,0,18.12457275,0.0,1,13,Whether the concession is to be availed for ,,,,,body,body,
9.744400024,0,0.161342127,0.364085363,9,44,0.0,0,0,5,43.82842226,1.0,0,17.57891846,0.0,1,14,visiting home town and if so block for which ,,,,,body,body,
9.744400024,0,0.161342127,0.385032309,5,21,0.142857143,1,0,6,58.88197304,1.0,0,14.63604736,-25.97856903,1,15,LTC is to be availed. ,,,,,body,body,
9.744400024,0,0.117680667,0.430918931,1,2,0.0,1,0,4,66.61255157,1.0,0,2.942810059,25.97856903,1,16,9,,,,,body,body,
9.744400024,0,0.161342127,0.406476961,9,45,0.022222222,0,0,6,47.44784476,1.0,0,18.05639648,0.0,1,17,(a) If the concession is to visit anywhere in ,,,,,body,body,
9.744400024,0,0.161342127,0.427423908,6,31,0.032258065,1,0,6,49.81745173,1.0,0,17.6373291,0.0,1,18,"India, the place to be visited. ",,,,,body,body,
9.744400024,0,0.161342127,0.448301483,7,34,0.029411765,1,0,7,56.55112924,1.0,0,17.57891846,0.0,1,19,(b) Block for which to be availed. ,,,,,body,body,
9.744400024,0,0.117680667,0.494269074,1,3,0.0,1,0,5,81.70371656,1.0,0,38.70471191,33.60839081,1,20,10,,,,,body,body,
9.744400024,0,0.161342127,0.469827104,6,34,0.029411765,0,0,6,48.33459517,1.0,0,18.12457275,0.0,1,21,Single ,,,,,body,body,
9.744400024,0,0.161342127,0.490704607,7,43,0.0,0,0,6,61.8910257,1.0,0,17.57885742,0.0,1,22,headquarters to home town/place of visit by ,,,,,body,body,
9.744400024,0,0.161342127,0.511582182,2,15,0.0,1,0,6,75.68266923,1.0,0,14.57763672,7.629821777,1,23,shortest route. ,,,,,body,body,
9.744400024,0,0.117680667,0.592175989,1,3,0.0,1,0,5,105.6735997,1.0,0,67.85998535,0.019432068,1,24,11,,,,,body,body,
9.744400024,0,0.161342127,0.533177247,11,57,0.070175439,1,0,6,97.36691655,1.0,0,35.76196289,-25.96890259,1,25,Persons in respect of whom LTC is proposed to be a,,,,,body,body,
9.744400024,0,0.161342127,0.5511384,8,38,0.131578947,1,0,6,148.4172209,1.0,0,15.12329102,307.04599,1,26,S.No ,,,,,body,body,
9.744400024,0,0.174165357,0.628804331,2,5,0.0,1,0,5,102.7919885,1.0,0,30.84106445,-33.58895874,1,27,5,,,,,body,body,
9.744400024,0,0.117696964,0.666427866,6,35,0.057142857,1,0,8,153.8695492,1.0,0,31.67901611,333.0148621,1,28,12. Amount of advance required. ,,,,,body,body,
9.744400024,0,0.117696913,0.708831062,35,199,0.010050251,1,0,5,130.7511014,1.0,0,35.70349121,333.0148926,1,29,I declare that the particulars furnished above are,,,,,body,body,
9.744400024,0,0.117713326,0.750667182,34,176,0.017045455,1,0,5,149.779785,1.0,0,35.22601318,0.0,1,30,In the event of cancellation of the journey or if ,,,,,body,body,
9.744400024,0,0.117713326,0.806390758,1,4,0.25,0,0,4,182.3003206,1.0,0,46.91925049,0.0,1,31,Date ,,,,,body,body,
9.744400024,0,0.677385808,0.820359327,4,32,0.09375,1,0,4,239.0706354,1.0,0,58.68078613,0.0,1,32,Signature of Government Servant. ,,,,,body,body,
24.0,0,0.4128267874125562,0.2394192242863202,1,8,0.125,0,0,4,243.93808125080872,1.5009380854087515,0,0.0,-181.70599365234372,1,0,Overview ,,,,,,,title
24.0,0,0.2276895311143663,0.3091464957805595,3,27,0.1111111111111111,0,0,4,202.5581604708211,1.5009380854087515,0,55.2239990234375,-68.40199279785156,1,1,Foundation Level Extensions ,,,,,,,title
12.0,0,0.4504738601983762,0.4828661909007062,2,11,0.0909090909090909,0,0,4,169.93539887945468,0.6319115320681212,0,137.58599853515625,-204.7460021972656,1,2,Version 1.0 ,,,,,,,body
18.0,0,0.1688562031664879,0.5880050273856732,5,51,0.0980392156862745,0,0,4,191.7945132885234,1.0291595191643894,0,83.26995849609375,-32.39599609375,1,3,International Software Testing Qualifications Boar,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.8235936791005761,18,110,0.0272727272727272,1,0,4,333.66462331148176,0.5107692327254858,0,186.58621215820312,0.0,1,4,Copyright Notice ,,,,,,,body
10.251428604125977,0,0.1216078490213631,0.0487704710526899,11,96,0.1041666666666666,0,0,4,413.7123684951531,1.1428571428571428,0,0.0,2.159996032714844,2,0,International ,,,,,,,body
9.960000038146973,0,0.8064506381165748,0.0778613524003462,1,5,0.2,0,0,4,475.7892836534701,1.10142180184754,0,23.03997802734375,-416.9637908935547,2,1,Board ,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.1519775294294261,10,92,0.1195652173913043,1,0,4,384.44225232993006,1.10142180184754,0,58.70001220703125,5.6399993896484375,2,2,Copyright © International Software Testing Qualifi,,,,,,,body
9.960000038146973,0,0.1251329409530739,0.9074284717290088,9,38,0.0789473684210526,0,0,4,528.3689272846218,1.10142180184754,0,598.3171463012695,0.0026397705078125,2,3,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,562.2499715792512,0.5980350255732696,0,18.2066650390625,0.0,2,4,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.7038398692810458,0.0778613524003462,2,20,0.1,0,0,4,354.4674336636367,0.8627111309318664,0,23.03997802734375,-354.16600036621094,3,0,Qualifications Board ,,,,,,,body
10.300000031789144,0,0.1216078490213631,0.0487704710526899,10,81,0.1111111111111111,0,0,5,370.4023432052133,0.9934413581666396,0,0.0,2.159996032714844,3,1,International ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1375457108622849,2,16,0.125,0,0,5,388.3185924201598,1.7280207868784383,0,47.27001190185547,5.6399993896484375,3,2,Revision History ,,,,,,,heading
9.960000038146973,0,0.1216078490213631,0.1760684697314946,53,298,0.1174496644295302,0,0,5,326.9389976928825,0.9543886556376876,0,30.510025024414062,2.159996032714844,3,3,Version ,,,,,,,body
9.960000038146973,0,0.1251372543035769,0.9074337891858032,9,38,0.0789473684210526,0,0,5,535.8453901523362,0.9543886556376876,0,579.2413330078125,-5.6399993896484375,3,4,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,514.9945260871125,0.5197054985708842,0,18.20245361328125,0.0,3,5,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.2480705859614353,0.1827350963245738,1,138,0.0,1,0,7,75.43323690596564,0.9958374143930968,0,83.06000518798828,341.7285919189453,4,0,..................................................,,,,,,,body
9.960000038146973,0,0.2570866603477328,0.2047049782492897,1,136,0.0,1,0,8,80.95567256833834,0.9963558414537204,0,17.400146484375,336.21075439453125,4,1,..................................................,,,,,,,body
9.960000038146973,0,0.5277318019492954,0.2268257526436237,1,76,0.0,1,0,6,92.22472618437727,1.0,0,17.5196533203125,170.575927734375,4,2,..................................................,,,,,,,body
9.960000038146973,0,0.586385141011157,0.2489465270379577,1,63,0.0,1,0,5,94.23505901201844,1.0,0,17.5196533203125,134.68008422851562,4,3,..................................................,,,,,,,body
9.960000038146973,0,0.3153494541941125,0.2712181939019097,6,677,0.0,1,0,7,82.34753413932005,1.0,0,17.63916015625,221.0821228027344,4,4,..................................................,,,,,,,body
9.960000038146973,0,0.6765947528913909,0.3658256916084675,1,41,0.0,1,0,4,116.71739116468146,1.0,0,74.92913818359375,-267.177001953125,4,5,......................................... ,,,,,,,body
9.960000038146973,0,0.2400310242098141,0.3880973584724195,2,246,0.0,1,0,7,54.984279554827104,1.0,0,17.63916015625,20.16900634765625,4,6,..................................................,,,,,,,body
9.960000038146973,0,0.2390545614404616,0.4244664510091145,1,138,0.0,1,0,5,29.897725850241663,1.0,0,28.8043212890625,-65.39736938476562,4,7,..................................................,,,,,,,body
9.960000038146973,0,0.2729869169347426,0.4467381178730666,2,229,0.0,1,0,6,157.37511355138986,1.0709677423765402,0,17.63916015625,-90.48399353027344,4,8,..................................................,,,,,,,body
10.251428604125977,0,0.1216078490213631,0.0487704710526899,11,96,0.1041666666666666,0,0,5,120.94492069563928,0.9185867893445048,0,0.0,-3.4800033569335938,4,9,International ,,,,,,,body
9.960000038146973,0,0.8064506381165748,0.0778613524003462,1,5,0.2,0,0,4,166.3168611457183,1.0,0,0.0,-336.21075439453125,4,10,Board ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1375457108622849,3,17,0.1176470588235294,0,0,4,173.17526128088517,1.5907731718271014,0,70.30998992919922,-3.0517578125e-05,4,11,Table of Contents ,,,,,,,heading
